BJD - 2454833, Corrected Flux
2756.557226117, 1.000437266,
2756.577657949, 1.000446475,
2756.598089881, 1.000462561,
2756.618521613, 1.000443747,
2756.638953444, 1.000423718,
2756.659385375, 1.000418408,
2756.679817106, 1.000478844,
2756.700248937, 1.000529345,
2756.720680768, 1.000439122,
2756.741112598, 1.000394933,
2756.781976257, 1.000582721,
2770.798153606, 0.999623832,
2770.818585300, 0.999666283,
2770.839017094, 0.999601955,
2770.859448688, 0.999611406,
2770.879880382, 0.999599124,
2770.900312076, 0.999623897,
2770.920743770, 0.999610536,
2770.941175564, 0.999570681,
2770.961607157, 0.999512361,
2770.982038851, 0.999525659,
2771.002470644, 0.999443620,
2771.022902237, 0.999398420,
2771.043333930, 0.999384613,
2771.063765723, 0.999378994,
2771.084197316, 0.999346920,
2771.104629008, 0.999348668,
2771.125060801, 0.999327881,
2771.145492393, 0.999334208,
2771.165924185, 0.999264146,
2771.186355877, 0.999271759,
2771.206787569, 0.999256328,
2771.227219261, 0.999271137,
2771.247650953, 0.999253590,
2771.268082645, 0.999226208,
2771.288514336, 0.999196435,
2771.308946028, 0.999204087,
2771.329377719, 0.999216298,
2771.349809510, 0.999210351,
2771.370241101, 0.999280041,
2771.390672792, 0.999203935,
2771.411104583, 0.999211717,
2771.431536173, 0.999169662,
2771.451967964, 0.999231450,
2771.472399654, 0.999269240,
2771.492831244, 0.999349160,
2771.513263035, 0.999300425,
2771.533694725, 0.999294688,
2771.554126315, 0.999326098,
2771.574558104, 0.999315128,
2771.594989794, 0.999333390,
2771.615421384, 0.999341227,
2771.635853173, 0.999210217,
2771.656284763, 0.999222062,
2771.676716452, 0.999211500,
2771.697148241, 0.999202535,
2771.738011619, 0.999291254,
2771.758443307, 0.999334596,
2771.778874996, 0.999356002,
2771.799306684, 0.999307836,
2771.819738373, 0.999285495,
2771.840170061, 0.999243713,
2771.860601849, 0.999253493,
2771.881033437, 0.999317556,
2771.901465125, 0.999344507,
2771.921896913, 0.999398091,
2771.942328500, 0.999447120,
2771.962760288, 0.999480332,
2771.983191976, 0.999504904,
2772.003623563, 0.999456898,
2772.024055350, 0.999495248,
2772.044487037, 0.999426374,
2772.064918624, 0.999427217,
2772.085350411, 0.999381476,
2772.105782098, 0.999399416,
2772.126213684, 0.999468668,
2772.146645471, 0.999450631,
2772.167077157, 0.999552255,
2772.187508844, 0.999477377,
2772.207940530, 0.999460900,
2772.228372216, 0.999512854,
2772.248804002, 0.999446547,
2772.269235588, 0.999504307,
2772.289667273, 0.999503049,
2772.310098959, 0.999632441,
2772.330530644, 0.999564744,
2772.350962330, 0.999499469,
2772.371394115, 0.999503141,
2772.391825700, 0.999577617,
2772.412257385, 0.999583543,
2772.432689170, 0.999576539,
2772.453120755, 0.999591849,
2772.473552440, 0.999612373,
2772.493984224, 0.999669101,
2772.514415809, 0.999656887,
2772.534847593, 0.999777682,
2772.555279277, 0.999749392,
2772.575710862, 0.999726148,
2772.596142646, 0.999513957,
2772.616574330, 0.999467418,
